type	latitude	longitude	altitude (m)	name
T	46.736000000	-117.088000000	788.0	1k
T	33.873000000	-84.301000000	302.2	
T	39.000000000	-74.000000000		
T	32.461000000	-94.539000000	103.3	
T	26.790000000	-80.693000000	4.2	
T	46.459000000	-97.185000000	324.8	
T	46.695000000	-92.095000000	202.2	
T	30.589000000	-98.370000000	258.0	
T	27.715000000	-80.527000000	6.3	
T	33.626000000	-111.906000000	452.6	
T	61.798000000	-149.503000000	1268.9	
T	43.427000000	-116.621000000	818.7	
T	36.002000000	-78.355000000	86.0	
T	26.166000000	-80.101000000	2.5	
T	32.549000000	-93.761000000	45.3	
T	38.228000000	-85.664000000	166.1	
T	32.491000000	-80.994000000	15.5	
T	40.399000000	-74.659000000	38.5	
T	45.535000000	-98.613000000	414.4	
T	42.004000000	-71.200000000	37.0	
T	28.056000000	-81.753000000	43.5	
T	32.494000000	-80.991000000	23.1	
T	39.427000000	-101.053000000	967.0	
T	40.798000000	-74.416000000	55.5	
T	45.771000000	-122.862000000	14.7	
T	37.693000000	-121.820000000	116.8	
T	38.183000000	-84.900000000	239.1	
T	39.564000000	-104.844000000	1781.1	
T	41.528000000	-85.757000000	265.9	
T	36.040000000	-95.982000000	189.1	
T	39.334000000	-114.781000000	2102.4	
T	28.779000000	-81.236000000	13.6	
T	41.019000000	-89.386000000	167.6	
T	34.013000000	-84.593000000	305.2	
T	33.485000000	-101.662000000	951.8	
T	39.751000000	-84.852000000	347.0	
T	45.928000000	-89.731000000	495.2	
T	38.398000000	-77.807000000	91.7	
T	37.872000000	-121.924000000	866.9	
T	27.664000000	-80.425000000	5.7	
T	45.241000000	-122.769000000	59.5	
T	37.708000000	-77.436000000	61.9	
T	33.872000000	-117.787000000	129.2	
T	37.405000000	-112.909000000	2134.8	
T	26.691000000	-79.721000000	0.0	
T	39.001000000	-119.751000000	1435.4	
T	32.635000000	-96.970000000	173.8	
T	32.635000000	-96.970000000	173.8	
T	33.211000000	-117.369000000	54.2	
T	62.786000000	-154.754000000	128.1	
T	46.446000000	-120.364000000	250.6	
T	61.216000000	-149.840000000	41.0	
T	32.756000000	-97.298000000	152.3	
T	30.424000000	-97.569000000	185.0	
T	37.239000000	-76.716000000	11.4	
T	34.259000000	-118.413000000	300.2	
T	38.054000000	-84.574000000	285.1	
T	45.377000000	-121.693000000	2922.7	
T	45.549000000	-122.401000000	9.4	
T	40.761000000	-81.779000000	342.3	
T	29.707000000	-91.296000000	1.4	
T	33.801000000	-118.342000000	35.9	
T	33.975000000	-117.635000000	191.9	
T	25.648000000	-80.433000000	1.5	
T	45.830000000	-87.980000000	326.9	
T	46.947000000	-120.513000000	441.7	
T	30.261000000	-98.907000000	532.1	
T	46.308000000	-111.538000000	1171.4	
T	40.619000000	-111.993000000	1404.0	
T	48.042000000	-122.775000000	35.6	
T	41.868000000	-84.077000000	242.2	
T	43.619000000	-97.381000000	436.6	
T	28.670000000	-96.681000000	7.8	
T	39.153000000	-122.020000000	12.6	
T	42.969000000	-83.755000000	233.0	
T	32.954000000	-111.766000000	442.7	
T	40.164000000	-105.164000000	1536.9	
T	35.095000000	-106.164000000	1995.5	
T	34.653000000	-112.420000000	1523.7	
T	41.000000000	-75.000000000	265.1	
T	46.289000000	-111.519000000	1171.1	
T	45.228000000	-96.004000000	310.9	
T	32.816000000	-117.139000000	128.8	
T	40.876000000	-74.278000000	53.6	
T	28.703000000	-81.587000000	24.3	
T	45.696000000	-85.568000000	203.2	
T	44.094000000	-121.200000000	1042.6	
T	30.533000000	-98.324000000	286.9	
T	29.623000000	-95.657000000	23.7	
T	43.502000000	-96.701000000	458.3	
T	25.909000000	-80.121000000	0.3	
T	38.131000000	-108.292000000	2136.0	
T	33.675000000	-117.869000000	15.9	
T	27.987000000	-82.024000000	38.8	
