Latitude,Longitude,altitude (m),Injury.Severity,Aircraft.Damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,FAR.Description,Purpose.of.Flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.Phase.of.Flight,Amateur.Built,Total.Passengers
39.129,-123.716,41.2,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,175,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,0,0,1,VMC,TAKEOFF,NO,1
38.846,-94.736,321.3,FATAL,DESTROYED,AIRPLANE,MOONEY,M20S,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,2,0,0,0,VMC,TAKEOFF,NO,2
30.176,-92.008,10.8,FATAL,DESTROYED,AIRPLANE,PIPER,PA 31T,2,TURBO PROP,PART 91: GENERAL AVIATION,EXECUTIVE/CORPORATE,5,2,2,0,IMC,TAKEOFF,NO,9
39.259,-84.774,176.9,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,172,1,RECIPROCATING,PART 91: GENERAL AVIATION,INSTRUCTIONAL,0,0,0,2,VMC,LANDING,NO,2
33.146,-117.334,1.4,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,182,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,0,0,2,VMC,CRUISE,NO,2
33.684,-112.11,428.5,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA-34-200T,2,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,0,0,2,VMC,APPROACH,NO,2
38.836,-95.182,269.9,NON-FATAL,SUBSTANTIAL,AIRPLANE,LUSCOMBE,8A,1,RECIPROCATING,PART 91: GENERAL AVIATION,INSTRUCTIONAL,0,0,0,2,VMC,TAKEOFF,NO,2
39.879,-111.857,1488.5,NON-FATAL,SUBSTANTIAL,AIRPLANE,JAVRON,PA-18 REPLICA,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,0,0,2,VMC,LANDING,NO,2
34.646,-89.305,106,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,172,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,1,0,0,VMC,CRUISE,NO,1
27.646,-80.428,6,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA28,1,RECIPROCATING,PART 91: GENERAL AVIATION,INSTRUCTIONAL,0,0,0,1,VMC,APPROACH,NO,1
36.38,-88.99,94.5,NON-FATAL,SUBSTANTIAL,AIRPLANE,CIRRUS,SR22,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,0,0,2,VMC,LANDING,NO,2
29.551,-98.5,256.3,FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA24,1,RECIPROCATING,PART 91: GENERAL AVIATION,INSTRUCTIONAL,3,0,0,0,VMC,APPROACH,NO,3
32.767,-82.81,120.4,NON-FATAL,SUBSTANTIAL,AIRPLANE,YAKOVLEV,YAK 52,1,RECIPROCATING,PART 91: GENERAL AVIATION,INSTRUCTIONAL,0,0,2,0,VMC,CRUISE,NO,2
43.766,-99.337,518.6,FATAL,DESTROYED,AIRPLANE,PILATUS,PC12,1,TURBO PROP,PART 91: GENERAL AVIATION,PERSONAL,9,3,0,0,IMC,TAKEOFF,NO,12
41.916,-72.777,56.3,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA28,1,RECIPROCATING,PART 91: GENERAL AVIATION,INSTRUCTIONAL,0,0,1,1,VMC,LANDING,NO,2
27.261,-80.848,8.8,NON-FATAL,DESTROYED,AIRPLANE,BEECH,E35,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,1,2,0,VMC,TAKEOFF,NO,3
41.968,-114.646,1576.3,FATAL,DESTROYED,AIRPLANE,GRUMMAN,AA5,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,2,0,0,0,VMC,TAKEOFF,NO,2
32.49,-95.482,192.8,NON-FATAL,SUBSTANTIAL,AIRPLANE,CIRRUS,SR22,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,1,0,1,IMC,CRUISE,NO,2
29.9,-97.852,179.3,FATAL,DESTROYED,AIRPLANE,RAYTHEON,A36,1,RECIPROCATING,PART 91: GENERAL AVIATION,BUSINESS,1,0,0,0,IMC,TAKEOFF,NO,1
39.852,-76.486,217.2,NON-FATAL,SUBSTANTIAL,AIRPLANE,LUSCOMBE,8,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,0,1,0,VMC,APPROACH,NO,1
37.696,-121.82,116.6,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA 18,1,RECIPROCATING,PART 91: GENERAL AVIATION,BANNER TOW,0,0,0,1,VMC,MANEUVERING,NO,1
40.479,-111.434,1704.8,NON-FATAL,SUBSTANTIAL,AIRPLANE,NORTH AMERICAN,SNJ-4,1,RECIPROCATING,PART 91: GENERAL AVIATION,AERIAL OBSERVATION,0,0,0,2,VMC,LANDING,NO,2
32.476,-111.338,575,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,150,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,0,0,1,VMC,CLIMB,NO,1
